DATE,M2
2010-03-01,8492.0000000000000000
2010-04-01,8517.3250000000000000
2010-05-01,8574.6800000000000000
2010-06-01,8598.2250000000000000
2010-07-01,8598.6750000000000000
2010-08-01,8653.0400000000000000
2010-09-01,8684.3750000000000000
2010-10-01,8732.1500000000000000
2010-11-01,8755.1200000000000000
2010-12-01,8788.9500000000000000
2011-01-01,8821.4800000000000000
2011-02-01,8871.3750000000000000
2011-03-01,8913.0250000000000000
2011-04-01,8966.7250000000000000
2011-05-01,9027.2000000000000000
2011-06-01,9098.4750000000000000
2011-07-01,9261.1000000000000000
2011-08-01,9503.4400000000000000
2011-09-01,9536.0750000000000000
2011-10-01,9570.4000000000000000
2011-11-01,9611.4000000000000000
2011-12-01,9637.5500000000000000
2012-01-01,9727.7200000000000000
2012-02-01,9770.3250000000000000
2012-03-01,9810.9500000000000000
2012-04-01,9868.8600000000000000
2012-05-01,9902.0250000000000000
2012-06-01,9961.7250000000000000
2012-07-01,10040.2600000000000000
2012-08-01,10110.1750000000000000
2012-09-01,10185.0000000000000000
2012-10-01,10254.3800000000000000
2012-11-01,10315.1500000000000000
2012-12-01,10436.0400000000000000
2013-01-01,10472.4750000000000000
2013-02-01,10463.5750000000000000
2013-03-01,10523.4000000000000000
2013-04-01,10578.3200000000000000
2013-05-01,10606.5250000000000000
2013-06-01,10653.3250000000000000
2013-07-01,10717.2800000000000000
2013-08-01,10773.2500000000000000
2013-09-01,10829.9600000000000000
2013-10-01,10944.8000000000000000
2013-11-01,10946.8000000000000000
2013-12-01,11010.2800000000000000
2014-01-01,11059.6000000000000000
2014-02-01,11141.6000000000000000
2014-03-01,11185.6800000000000000
2014-04-01,11243.8000000000000000
2014-05-01,11303.7750000000000000
2014-06-01,11366.7400000000000000
2014-07-01,11425.1750000000000000
2014-08-01,11453.0250000000000000
2014-09-01,11488.7000000000000000
2014-10-01,11550.5750000000000000
2014-11-01,11577.5750000000000000
2014-12-01,11660.1000000000000000
2015-01-01,11713.1000000000000000
2015-02-01,11840.7500000000000000
2015-03-01,11870.0800000000000000
2015-04-01,11916.4000000000000000
2015-05-01,11939.0500000000000000
2015-06-01,11990.6800000000000000
2015-07-01,12046.6500000000000000
2015-08-01,12091.780000000000
2015-09-01,12153.2500000000000000
2015-10-01,12169.6000000000000000
2015-11-01,12271.780000000000
2015-12-01,12328.5750000000000000
2016-01-01,12432.7000000000000000
2016-02-01,12531.480000000000
2016-03-01,12593.100000000000
2016-04-01,12672.800000000000
2016-05-01,12753.300000000000
2016-06-01,12820.200000000000
2016-07-01,12868.250000000000
2016-08-01,12960.620000000000
2016-09-01,13026.925000000000
2016-10-01,13092.820000000000
2016-11-01,13168.200000000000
2016-12-01,13195.525000000000
2017-01-01,13265.560000000000
2017-02-01,13339.050000000000
2017-03-01,13408.300000000000
2017-04-01,13460.825000000000
2017-05-01,13527.180000000000
2017-06-01,13556.725000000000
2017-07-01,13611.780000000000
2017-08-01,13671.800000000000
2017-09-01,13708.050000000000
2017-10-01,13765.600000000000
2017-11-01,13792.225000000000
2017-12-01,13832.675000000000
2018-01-01,13852.940000000000
2018-02-01,13888.975000000000
2018-03-01,13946.775000000000
2018-04-01,13987.700000000000
2018-05-01,14050.675000000000
2018-06-01,14113.225000000000
2018-07-01,14151.360000000000
2018-08-01,14191.075000000000
2018-09-01,14224.675000000000
2018-10-01,14237.880000000000
2018-11-01,14235.800000000000
2018-12-01,14346.040000000000
2019-01-01,14432.175000000000
2019-02-01,14461.075000000000
2019-03-01,14501.075000000000
2019-04-01,14555.840000000000
2019-05-01,14642.125000000000
2019-06-01,14764.075000000000
2019-07-01,14853.540000000000
2019-08-01,14925.450000000000
2019-09-01,15015.660000000000
2019-10-01,15143.100000000000
2019-11-01,15241.650000000000
2019-12-01,15303.720000000000
2020-01-01,15394.450000000000
2020-02-01,15434.450000000000
2020-03-01,15898.140000000000
2020-04-01,16948.850000000000
2020-05-01,17816.950000000000
2020-06-01,18129.240000000000
2020-07-01,18329.750000000000
